"","Samples","SIMPSON"
"1","B_2_1",0.744114129884615
"2","B_2_2",0.802634509778495
"3","B_3_2",0.819145701904019
"4","B_3_3",0.806916664183624
"5","B_4_1",0.748988015139279
"6","B_4_2",0.7830950692888
"7","B_4_3",0.764034431430165
"8","B_5_2",0.776722821101265
"9","B_5_3",0.775649486899252
"10","B_6_1",0.817397792279374
"11","B_6_2",0.794097707202142
"12","B_6_3",0.784917740470132
"13","B_7_1",0.752279319511484
"14","B_7_2",0.803896141132378
"15","B_8_1",0.739799248632057
"16","B_8_2",0.795758777015283
"17","B_8_3",0.814948301433334
"18","B_9_1",0.728184640365083
"19","B_9_2",0.800164895070588
"20","R_2_1",0.799520585608429
"21","R_2_2",0.795727001685252
"22","R_2_3",0.760245830001191
"23","R_3_1",0.781631316809045
"24","R_3_2",0.780586922065302
"25","R_3_3",0.529756056306578
"26","R_4_1",0.779917871348849
"27","R_4_2",0.732434619491914
"28","R_4_3",0.632172205444894
"29","R_5_1",0.812919802706921
"30","R_5_2",0.672052636238415
"31","R_5_3",0.659828552009175
"32","R_6_1",0.783389184268723
"33","R_6_2",0.78734044009203
"34","R_6_3",0.739477254318583
"35","R_7_1",0.764324568091725
"36","R_7_2",0.796046465343681
"37","R_7_3",0.768754659919648
"38","R_8_1",0.730163182947771
"39","R_8_2",0.741706464329721
"40","R_8_3",0.811385998698888
"41","R_9_1",0.795514465874164
"42","R_9_2",0.819158966796786
"43","R_9_3",0.722725275762917
