"","Acrospermales_fam_Incertae_sedis","Agaricomycetes_fam_Incertae_sedis","Ajellomycetaceae","Amniculicolaceae","Apiosporaceae","Arachnomycetaceae","Ascobolaceae","Aspergillaceae","Aureobasidiaceae","Auriculariales_fam_Incertae_sedis","Biatriosporaceae","Bionectriaceae","Botryosphaeriaceae","Bulleribasidiaceae","Chaetomiaceae","Cladosporiaceae","Clavicipitaceae","Coniothyriaceae","Cordycipitaceae","Cucurbitariaceae","Cunninghamellaceae","Cyphellophoraceae","Diaporthaceae","Diatrypaceae","Dictyosporiaceae","Didymellaceae","Didymosphaeriaceae","Dipodascaceae","Dissoconiaceae","Dothideaceae","Dothideomycetes_fam_Incertae_sedis","Dothioraceae","Eremomycetaceae","Erysiphaceae","Glomerellaceae","Gymnoascaceae","Halosphaeriaceae","Helotiaceae","Helotiales_fam_Incertae_sedis","Herpotrichiellaceae","Holtermanniales_fam_Incertae_sedis","Hyaloscyphaceae","Hydnodontaceae","Hypocreaceae","Hypocreales_fam_Incertae_sedis","Hyponectriaceae","Kondoaceae","Lasiosphaeriaceae","Lentitheciaceae","Leptosphaeriaceae","Lindgomycetaceae","Lophiostomataceae","Magnaporthaceae","Massarinaceae","Melanommataceae","Melanosporaceae","Microascaceae","Microascales_fam_Incertae_sedis","Microdochiaceae","Mortierellaceae","Mucoraceae","Mycosphaerellaceae","Myrmecridiaceae","Mytilinidiales_fam_Incertae_sedis","Myxotrichaceae","Nectriaceae","Nectriaceae.1","Neodevriesiaceae","Olpidiaceae","Onygenaceae","Onygenales_fam_Incertae_sedis","Ophiocordycipitaceae","Orbiliaceae","Periconiaceae","Pezizaceae","Phaeosphaeriaceae","Phomatosporaceae","Pichiaceae","Plectosphaerellaceae","Pleosporaceae","Pleosporales_fam_Incertae_sedis","Pleurotheciaceae","Powellomycetaceae","Psathyrellaceae","Pseudeurotiaceae","Pyronemataceae","Pyxidiophoraceae","Rhizophlyctidaceae","Rhizopodaceae","Rhynchogastremataceae","Saccharomycetales_fam_Incertae_sedis","Savoryellaceae","Sclerotiniaceae","Sebacinaceae","Sordariaceae","Sporidiobolaceae","Sporormiaceae","Stachybotryaceae","Stictidaceae","Sympoventuriaceae","Testudinaceae","Thelebolaceae","Thelephoraceae","Thyridariaceae","Torulaceae","Trematosphaeriaceae","Trichocomaceae","Trichosporonaceae","Tubeufiaceae","unidentified","Verrucariaceae","Xylariales_fam_Incertae_sedis"
"S.obs",12,4,11,2,30,40,11,43,7,5,3,43,9,43,43,43,19,20,43,43,3,28,6,18,19,33,33,4,1,1,5,1,24,12,14,42,3,32,39,14,3,24,27,32,43,11,1,43,43,31,2,1,15,11,2,20,41,35,26,29,25,43,9,2,31,43,3,5,2,9,43,12,21,18,7,41,1,10,43,43,4,4,4,7,43,2,3,3,31,32,3,12,39,7,8,5,43,43,3,12,5,1,12,10,26,8,15,6,8,43,1,2
"S.chao1",13.2,4,13.5,3,44,40.2,13,43,22,5.5,3,43,23,43,43,43,37.3333333333333,23.75,43,43,3,37.1666666666667,11,25.2,28,35.625,33.2,5.5,1,1,15,1,37.2,22,29,42,6,35.5,46.5,19.6,4,26.5,29.3333333333333,39.3333333333333,43,13,1,43,43,71,3,1,24,16,2,23,45.5,38.75,28,29.6,32.5,43,12,3,35.2,43,6,15,3,23,43,67,22.875,25,10,41.6,1,17.5,43,43,5.5,4,10,13,43,2,6,6,32.6666666666667,43.25,3,21,39,7.75,13,15,43,43,3,24,8,1,13,15,66,15.5,18,16,8.33333333333333,43,1,2
"se.chao1",1.83285834067167,0.21650635094611,2.88920048177144,2.04124145231932,13.1779774969109,0.620457221876822,2.86296720145048,0,13.4823116442518,1.25905808949678,0.136082763487954,0,13.1140482258365,0,0,0,15.0360943231808,4.19649466033385,0,0,0.204124145231932,7.37318931819316,5.94004132217032,6.42550498293436,7.60131567559196,2.82547370150277,0.620213721422675,2.51811617899355,0,0,10.041580220928,0,10.2059792721339,10.2052793823945,12.7962967583582,0.494011760029677,4.28660704987056,3.44185063991231,8.14522915973001,5.33193382998579,2.12132034355964,2.89447985428028,2.55107219694664,5.67287508291058,0,2.86296720145048,0,0,0,28.6192423530716,2.04124145231932,0,8.02206429948053,5.50252467307306,0.353553390593274,3.41136208930507,4.10453213727631,4.20202104311416,2.87573317083509,1.05835543000271,6.34416246922298,0,4.12057843835871,2.04124145231932,4.33416947061372,0,4.28660704987056,10.041580220928,2.04124145231932,13.1140482258365,0,34.8298636658985,2.25371374268454,7.08942874990644,4.44128359824049,1.18463480253816,0,8.08470778692712,0,0,2.51811617899355,0.144337567297406,6.97137002317335,7.07650500437349,0,0,4.28660704987056,4.28660704987056,2.20231838892976,9.53966066177972,0.204124145231932,8.01783725737273,0,1.4094385893315,5.95657361498783,10.041580220928,0,0,0,10.7233196041773,4.38391947918755,0,2.27866357593825,5.96866819315666,28.6144697450063,8.0721294708118,3.17645283417049,10.0739453542294,0.913411729536205,0,0,0
"S.ACE",15.8062283737024,4.44444444444444,17.6,NA,35.3910662489848,41.1679540971849,15.3456790123457,NA,37.5,7.22222222222222,3.75,43,45,43,NA,NA,43.0386666666667,24.082465639317,43,NA,4.114,37.3685969620464,21,29.7178547698149,34.6402116402116,37.323093220339,33.8054498562489,10,1,1,NA,1,36.1647337278106,16.5373785445172,34.3636363636364,42.5156832998483,NA,37.7033378949247,42.352493660186,22,6.9,27.8132843246454,33.2851398110914,45.5326525127654,NA,14.5885714285714,1,NA,43,52.7822545180408,NA,1,31.83,19.909972299169,3.125,25.7831604715583,45.998495000032,37.9687027939346,29.3079069767442,30.508513723176,34.0059389589354,NA,12.1710526315789,NA,35.2690277777778,NA,NA,NA,NA,45,NA,122.36974789916,25.0048912126834,28.8419920474545,9.07942708333333,42.3613012297876,1,19.25,NA,NA,10,4.57142857142857,NA,21.8,NA,2,NA,NA,33.9118588450469,49.8743864166734,3.6,30,39,9.9504132231405,14.3541666666667,NA,43,43,3,39.8823529411765,8.97959183673469,1,13.3497536945813,19.1855203619909,83.1953723317582,29,22.2053557996088,27.5625,10,NA,1,2
"se.ACE",2.08334988226209,0.767205252849588,1.89939240580839,NA,2.70888808176068,3.13008619817418,1.91203903091697,NA,1.99389251097036,1.26993288126169,0.98580049908691,2.10204772808868,0.976132968438966,2.10204772808868,NA,NA,4.49730727849622,2.08242602959956,2.42083975435779,NA,0.923829008251625,2.74430047313999,0.965052076600592,2.69593198076002,3.20588778748398,2.13153708945175,2.84073224209754,0.946486273276913,0,0,NA,0,3.00338705193709,1.81992027430821,2.5093320131285,2.38940978894721,NA,2.50410166233227,3.20266181402352,2.21449943263378,1.13764973214161,2.07372152256789,2.74439378156816,3.84966587770577,NA,1.71680498642291,0,NA,3.27783252264536,3.8497211123209,NA,0,2.44948728003304,2.24762020393759,0.754841474218262,2.49251965454444,2.11237801372003,2.74119538355792,2.63049514168194,1.83278936876899,2.91513968398809,NA,1.62753757008977,NA,2.48666769962222,NA,NA,NA,NA,0.976132968438966,NA,4.76713803631802,2.19461723368741,2.97790069380694,1.22811532418818,3.21819395644126,0,2.14820793676374,NA,NA,0.946486273276913,0.943719451611987,NA,1.86030172377986,NA,0,NA,NA,2.50421304223281,4.41489406290657,0.876043154180539,1.64154763597074,2.25320284859643,1.62030705740096,1.71297486541683,NA,1.67053813916911,3.27783252264536,0.816496580927726,2.95250264710377,1.36765966774529,0,1.81794953578306,2.04922954848,4.82738286862088,0.970494720685271,2.592448229267,1.84207564307372,1.28112608656501,NA,0,0
