"","Samples","SIMPSON"
"1","B_2_1",0.722970670498848
"2","B_2_2",0.778339129121496
"3","B_3_2",0.780800430730622
"4","B_3_3",0.773942083838767
"5","B_4_1",0.763570817273353
"6","B_4_2",0.792138033507148
"7","B_4_3",0.751574258460587
"8","B_5_2",0.741257324794757
"9","B_5_3",0.772026584293527
"10","B_6_1",0.798791484878129
"11","B_6_2",0.780496153461774
"12","B_6_3",0.781111840329661
"13","B_7_1",0.771134997762852
"14","B_7_2",0.768384278216874
"15","B_8_1",0.743088419166144
"16","B_8_2",0.772369611373154
"17","B_8_3",0.803133863528673
"18","B_9_1",0.737765191643622
"19","B_9_2",0.800557243532505
"20","R_2_1",0.780869850470835
"21","R_2_2",0.793663333213812
"22","R_2_3",0.794947274789611
"23","R_3_1",0.766228342617882
"24","R_3_2",0.744544706047486
"25","R_3_3",0.574011738075043
"26","R_4_1",0.788337982556952
"27","R_4_2",0.767511480046571
"28","R_4_3",0.711546031442662
"29","R_5_1",0.806205520335504
"30","R_5_2",0.723752500273634
"31","R_5_3",0.708671549655112
"32","R_6_1",0.778733749510553
"33","R_6_2",0.783182149549294
"34","R_6_3",0.794178649505954
"35","R_7_1",0.667032765386365
"36","R_7_2",0.775874180830373
"37","R_7_3",0.742230140094986
"38","R_8_1",0.672052251996768
"39","R_8_2",0.748040525321804
"40","R_8_3",0.721267885923669
"41","R_9_1",0.799866203756449
"42","R_9_2",0.828564912068881
"43","R_9_3",0.745349782652953
