"","Acrospermales","Agaricales","Agaricomycetes_ord_Incertae_sedis","Agaricostilbales","Auriculariales","Botryosphaeriales","Branch06","Capnodiales","Chaetothyriales","Diaporthales","Dothideales","Dothideomycetes_ord_Incertae_sedis","Erysiphales","Eurotiales","Glomerellales","Helotiales","Holtermanniales","Hypocreales","Magnaporthales","Melanosporales","Microascales","Mortierellales","Mucorales","Myrmecridiales","Mytilinidiales","Olpidiales","Onygenales","Orbiliales","Ostropales","Pezizales","Phomatosporales","Pleosporales","Pleurotheciales","Pyxidiophorales","Rhizophlyctidales","Saccharomycetales","Savoryellales","Sebacinales","Sordariales","Spizellomycetales","Sporidiobolales","Thelebolales","Thelephorales","Trechisporales","Tremellales","Trichosporonales","Tubeufiales","unidentified","Venturiales","Verrucariales","Xylariales"
"S.obs",12,17,4,1,5,9,2,43,34,6,9,26,12,43,43,43,3,43,15,20,43,29,38,9,2,2,43,21,3,17,1,43,4,3,3,31,12,7,43,4,5,43,12,27,43,6,8,43,12,1,42
"S.chao1",13.2,17.1666666666667,4,1,5.5,23,3,43,40,11,24,35.4285714285714,22,43,43,43,4,43,24,23,50.5,29.6,39.2,12,3,3,43,22.875,3,18,1,43,4,6,6,43,21,7.75,43,10,15,43,13,29.3333333333333,43,16,8.33333333333333,43,24,1,42
"se.chao1",1.83285834067167,0.541592324718893,0.21650635094611,0,1.25905808949678,13.1140482258365,2.04124145231932,0,5.38385897846517,5.94004132217032,13.5277492584687,7.25014969738884,10.2052793823945,0,0,0,2.12132034355964,0,8.02206429948053,3.41136208930507,8.14811069640024,1.05835543000271,1.83846431034387,4.12057843835871,2.04124145231932,2.04124145231932,0,2.25371374268454,0,1.80747760944416,0,0,0.144337567297406,4.28660704987056,4.28660704987056,10.7492563290633,8.01783725737273,1.4094385893315,0,6.97137002317335,10.041580220928,0,2.27866357593825,2.55107219694664,0,10.0739453542294,0.913411729536205,0,10.7233196041773,0,0.247005880014838
"S.ACE",15.8062283737024,18.4397699392672,4.44444444444444,1,7.22222222222222,45,NA,NA,40.6517344762572,21,18.624,36.8522915101427,16.5373785445172,NA,NA,43,6.9,NA,31.83,25.7831604715583,45.5930338461539,30.508513723176,39.5073185923388,12.1710526315789,NA,NA,NA,25.0048912126834,3,18.3199650474125,1,NA,4.57142857142857,NA,NA,38.71259175607,30,9.9504132231405,NA,NA,NA,NA,13.3497536945813,33.2851398110914,43,27.5625,10,NA,39.8823529411765,1,42.206864
"se.ACE",2.08334988226209,1.97393958385988,0.767205252849588,0,1.26993288126169,0.976132968438966,NA,NA,2.81340709583195,0.965052076600592,1.92463521743432,2.98243547224698,1.81992027430821,NA,NA,0.988303691203525,1.13764973214161,NA,2.44948728003304,2.49251965454444,3.30152042418608,1.83278936876899,2.6503908736933,1.62753757008977,NA,NA,NA,2.19461723368741,0.816496580927726,1.45747402107335,0,NA,0.943719451611987,NA,NA,2.9845230645393,1.64154763597074,1.62030705740096,NA,NA,NA,NA,1.81794953578306,2.74439378156816,1.90470653297147,1.84207564307372,1.28112608656501,NA,2.95250264710377,0,3.12589369172389
