"","Samples","SHANNON","SIMPSON"
"1","R_2_1",2.11368715543885,0.799520585608429
"2","R_2_2",2.17226903853123,0.795727001685252
"3","R_2_3",2.03583321451669,0.760245830001191
"4","R_3_1",1.98889360431293,0.781631316809045
"5","R_3_2",1.90498109160207,0.780586922065302
"6","R_3_3",1.37106829366419,0.529756056306578
"7","R_4_1",2.03916569765114,0.779917871348849
"8","R_4_2",1.76195709419846,0.732434619491914
"9","R_4_3",1.53722310972711,0.632172205444894
"10","R_5_1",1.99675875076975,0.812919802706921
"11","R_5_2",1.77239659237044,0.672052636238415
"12","R_5_3",1.69419163733065,0.659828552009175
"13","R_6_1",1.9773070216007,0.783389184268723
"14","R_6_2",2.03134054662457,0.78734044009203
"15","R_6_3",1.86186962364021,0.739477254318583
"16","R_7_1",1.81960872355679,0.764324568091725
"17","R_7_2",2.08807944106803,0.796046465343681
"18","R_7_3",1.96989979203485,0.768754659919648
"19","R_8_1",1.75064477579122,0.730163182947771
"20","R_8_2",1.81663197150037,0.741706464329721
"21","R_8_3",2.14906319489073,0.811385998698888
"22","R_9_1",1.99204686062436,0.795514465874164
"23","R_9_2",2.11406098551315,0.819158966796786
