"","Samples","SHANNON","SIMPSON"
"1","R_2_1",2.0338989852144,0.804097819007017
"2","R_2_2",2.16076518967278,0.832923455484241
"3","R_2_3",2.06749790630045,0.808435981676561
"4","R_3_1",1.96087965362008,0.804369870695339
"5","R_3_2",1.86526358347624,0.789388481525469
"6","R_3_3",1.44884740625337,0.576337949290248
"7","R_4_1",2.00854347659792,0.815123628906492
"8","R_4_2",1.78724948151488,0.785805630030677
"9","R_4_3",1.66072766469503,0.734157866207841
"10","R_5_1",1.97295938547526,0.821524618025787
"11","R_5_2",1.8313954008717,0.741036823216799
"12","R_5_3",1.77535950172488,0.742731496301701
"13","R_6_1",1.97934637526088,0.806301336090144
"14","R_6_2",1.9659118886098,0.799185652108977
"15","R_6_3",1.95244521771578,0.802922979179069
"16","R_7_1",1.55715174404696,0.682522903483455
"17","R_7_2",1.94832054681267,0.803661150812972
"18","R_7_3",1.81125140241203,0.758402832969902
"19","R_8_1",1.60370714617311,0.684758709019218
"20","R_8_2",1.79223843750222,0.764119345851309
"21","R_8_3",2.04577248538886,0.809933244661075
"22","R_9_1",1.95234528630388,0.808901319336683
"23","R_9_2",2.11128226695304,0.844385004906901
