"","Samples","SHANNON","SIMPSON"
"1","R_2_1",1.73642946329089,0.780869850470835
"2","R_2_2",1.8027772747571,0.793663333213812
"3","R_2_3",1.78402756076276,0.794947274789611
"4","R_3_1",1.6110028772322,0.766228342617882
"5","R_3_2",1.58435472423026,0.744544706047486
"6","R_3_3",1.24871545368901,0.574011738075043
"7","R_4_1",1.79433572397259,0.788337982556952
"8","R_4_2",1.60106100818107,0.767511480046571
"9","R_4_3",1.46074117079849,0.711546031442662
"10","R_5_1",1.78904241289926,0.806205520335504
"11","R_5_2",1.59676475670627,0.723752500273634
"12","R_5_3",1.50355346704079,0.708671549655112
"13","R_6_1",1.70365049067041,0.778733749510553
"14","R_6_2",1.76902683585135,0.783182149549294
"15","R_6_3",1.78753093521915,0.794178649505954
"16","R_7_1",1.41621951651422,0.667032765386365
"17","R_7_2",1.69606700826963,0.775874180830373
"18","R_7_3",1.61907830500089,0.742230140094986
"19","R_8_1",1.46697110275644,0.672052251996768
"20","R_8_2",1.61950849783646,0.748040525321804
"21","R_8_3",1.58558207964746,0.721267885923669
"22","R_9_1",1.82192848195524,0.799866203756449
"23","R_9_2",1.92763246520126,0.828564912068881
