"","Samples","SHANNON","SIMPSON"
"1","B_2_1",1.89720637502713,0.759095914137259
"2","B_2_2",2.128873755729,0.818815546766959
"3","B_3_2",2.22870093128332,0.83259035526731
"4","B_3_3",2.19729177993781,0.835771365265381
"5","B_4_1",1.90869488708406,0.777741682640468
"6","B_4_2",1.99187621307396,0.802858794417709
"7","B_4_3",1.85073681811657,0.773439471884186
"8","B_5_2",1.96441356140723,0.788717606894674
"9","B_5_3",1.92175442956724,0.791421943390834
"10","B_6_1",2.05609175442164,0.83338896544816
"11","B_6_2",1.97233836390786,0.802052813938021
"12","B_6_3",2.14054842766801,0.812055713732297
"13","B_7_1",1.90502456557518,0.779990534571041
"14","B_7_2",2.09489324898548,0.817742081201266
"15","B_8_1",1.77159486486377,0.758323539582852
"16","B_8_2",1.91228756835966,0.797506284240421
"17","B_8_3",2.01286053055649,0.816461380308936
"18","B_9_1",1.69015311009541,0.746460937312089
"19","B_9_2",1.94846783620483,0.806105590778916
