"","Samples","SIMPSON"
"1","B_2_1",0.759095914137259
"2","B_2_2",0.818815546766959
"3","B_3_2",0.83259035526731
"4","B_3_3",0.835771365265381
"5","B_4_1",0.777741682640468
"6","B_4_2",0.802858794417709
"7","B_4_3",0.773439471884186
"8","B_5_2",0.788717606894674
"9","B_5_3",0.791421943390834
"10","B_6_1",0.83338896544816
"11","B_6_2",0.802052813938021
"12","B_6_3",0.812055713732297
"13","B_7_1",0.779990534571041
"14","B_7_2",0.817742081201266
"15","B_8_1",0.758323539582852
"16","B_8_2",0.797506284240421
"17","B_8_3",0.816461380308936
"18","B_9_1",0.746460937312089
"19","B_9_2",0.806105590778916
"20","R_2_1",0.804097819007017
"21","R_2_2",0.832923455484241
"22","R_2_3",0.808435981676561
"23","R_3_1",0.804369870695339
"24","R_3_2",0.789388481525469
"25","R_3_3",0.576337949290248
"26","R_4_1",0.815123628906492
"27","R_4_2",0.785805630030677
"28","R_4_3",0.734157866207841
"29","R_5_1",0.821524618025787
"30","R_5_2",0.741036823216799
"31","R_5_3",0.742731496301701
"32","R_6_1",0.806301336090144
"33","R_6_2",0.799185652108977
"34","R_6_3",0.802922979179069
"35","R_7_1",0.682522903483455
"36","R_7_2",0.803661150812972
"37","R_7_3",0.758402832969902
"38","R_8_1",0.684758709019218
"39","R_8_2",0.764119345851309
"40","R_8_3",0.809933244661075
"41","R_9_1",0.808901319336683
"42","R_9_2",0.844385004906901
"43","R_9_3",0.785276567225732
