"","Absidia","Achroiostachys","Acremonium","Acrostalagmus","Actinomucor","Akenomyces","Alternaria","Alternaria.","Amarenomyces","Apiotrichum","Arachnomyces","Arthrinium","Arthrobotrys","Arthrographis","Articulospora","Ascobolus","Aspergillus","Aureobasidium","Beauveria","Biatriospora","Bimuria","Blumeria","Botrytis","Cadophora","Camarosporium","Candida","Cercophora","Cercospora","Chaetomium","Chrysosporium","Ciboria","Cistella","Cladorrhinum","Cladosporium","Clonostachys","Colletotrichum","Coniothyrium","Coprinellus","Coprinopsis","Curvularia","Cyphellophora","Dactylaria","Dactylella","Darksidea","Diaporthe","Dictyosporium","Didymella","Dissoconium","Emericellopsis","Emmonsiellopsis","Endocarpon","Endoconidioma","Exophiala","Fitzroyomyces","Fusariella","Fusarium","Fusicolla","Fusidium","Gaeumannomyces","Gamsia","Gibberella","Gibellulopsis","Gymnoascus","Halokirschsteiniothelia","Hannaella","Hansfordia","Holtermanniella","Humicola","Ilyonectria","Iodophanus","Keissleriella","Kondoa","Lecanicillium","Lectera","Leiothecium","Lepidosphaeria","Leptodiscella","Leptosphaeria","Leptospora","Leucosphaerina","Leucothecium","Libertasomyces","Lindgomyces","Lophiostoma","Macrophomina","Magnaporthiopsis","Massarina","Melanospora","Metarhizium","Microascus","Microdochium","Monocillium","Monographella","Monosporascus","Montagnula","Mortierella","Mucor","Murispora","Myceliophthora","Mycosphaerella","Myriodontium","Myrmecridium","Nectriopsis","Neoascochyta","Neodendryphiella","Neodevriesia","Neofitzroyomyces","Neosetophoma","Neostagonospora","Neurospora","Ochroconis","Oidiodendron","Oliveonia","Olpidium","Ophiosphaerella","Ovatospora","Papiliotrema","Paraconiothyrium","Paracremonium","Paracylindrocarpon","Paraphoma","Pararoussoella","Parastagonospora","Parathyridaria","Penicillium","Periconia","Peziza","Phaeosphaeria","Phoma","Phomatospora","Pichia","Plectosphaerella","Plenodomus","Pleurotheciella","Podospora","Powellomyces","Preussia","Psathyrella","Pseudeurotium","Pseudocoleophoma","Pseudogymnoascus","Pseudopithomyces","Purpureocillium","Pyrenochaeta","Pyrenochaetopsis","Pyxidiophora","Radulidium","Retroconis","Rhizophlyctis","Rhizopus","Rhodotorula","Sarocladium","Saturnispora","Savoryella","Schizothecium","Sclerostagonospora","Scutellinia","Septoriella","Setophaeosphaeria","Setoseptoria","Sirastachys","Sphaeronaemella","Spiromastix","Spirosphaera","Sporormiella","Stachybotrys","Stachylidium","Stagonospora","Stemphylium","Stephanonectria","Stilbella","Striaticonidium","Subramaniula","Talaromyces","Tetracladium","Thelebolus","Thermomyces","Thielavia","Tomentella","Torula","Trechispora","Trematosphaeria","Trichoderma","Trichothecium","unidentified","Valsonectria","Verticillium","Vishniacozyma","Wardomyces","Westerdykella","Zopfiella"
"S.obs",3,5,43,37,5,4,43,15,3,6,40,30,1,24,21,11,43,7,43,3,26,12,39,39,1,3,5,2,43,43,7,17,18,43,43,14,20,4,1,2,28,6,2,43,6,5,24,1,27,11,1,1,14,1,40,43,43,1,9,5,43,43,21,2,37,1,3,29,43,2,7,1,27,19,2,5,12,25,5,15,42,2,2,1,9,6,7,20,19,41,26,13,11,18,2,29,23,2,24,43,9,9,9,6,15,5,2,16,15,8,12,31,5,2,21,2,32,1,8,24,31,5,5,1,43,18,5,26,18,1,8,41,10,3,32,4,43,2,2,2,43,23,12,2,43,3,5,23,3,31,5,43,4,12,43,4,1,12,13,2,33,33,43,2,10,43,4,7,43,1,2,3,40,11,18,1,8,43,12,26,27,8,26,12,43,23,27,43,8,1,14
"S.chao1",3,8,43,40,6.5,4,43,19.6666666666667,6,16,40.2,44,1,37.2,28,13,43,22,46,3,31,22,39,46.5,1,3,6.5,2,43,43,14.5,18.5,23,43,43,29,25.25,10,1,3,37.1666666666667,6,2,43,11,11,25.875,1,44.5,13.5,1,1,19.6,1,40,43,46.3333333333333,1,12.3333333333333,15,43,43,26.1428571428571,3,46.4285714285714,1,4,41,45,2,7.33333333333333,1,30.75,33,3,8,13.2,44.5,5.5,42.5,42.5,3,3,1,23,9,22,23,37.3333333333333,45.5,28,20,13,25.2,2,29.6,27,3,36,43,23,12,24,6.5,22,15,2,28,24,13,24,35.2,5.5,3,23.1428571428571,3,43.25,1,36,33.3333333333333,53.75,8,8,1,43,25,5.5,44,27,1,15.5,42,13,3,35,10,43,2,2,2,43,26.5,67,3,43,6,15,34.1428571428571,6,32.6666666666667,15,43,5,21,43,7,1,21.3333333333333,15.5,3,39.4285714285714,38,43,2,15,43,10,12,43,1,2,4,54,16.25,21,1,29,43,13,66,29.3333333333333,15.5,33.8571428571429,17,43,34,27.5454545454545,43,15.5,1,21
"se.chao1",0.204124145231932,4.08885680844903,0,3.18059726774577,2.53058217686092,0.21650635094611,0,4.4816591665034,4.28660704987056,10.0739453542294,0.620457221876822,13.1779774969109,0,10.2059792721339,7.09313047955555,2.86296720145048,0,13.4823116442518,4.61625200879411,0.136082763487954,5.52203146869145,10.2052793823945,0,8.14522915973001,0,0.204124145231932,2.53058217686092,0,0,0,8.06452961622899,2.22328357724894,5.99592252756169,0,0,12.7962967583582,5.35843564964497,6.97137002317335,0,2.04124145231932,7.37318931819316,0,0.176776695296637,0,5.94004132217032,7.01297498796468,2.25413126537673,0,12.1346096583512,2.88920048177144,0,0,5.33193382998579,0,0,0,4.11957130660998,0,4.09217699754616,10.041580220928,0,0,4.64535556070206,2.04124145231932,7.2523897850703,0,2.12132034355964,7.95628299046673,2.87990054697967,0.176776695296637,0.911640644345127,0,4.19974547355943,13.1546742470292,2.04124145231932,4.38391947918755,1.83285834067167,14.7241489328841,1.25905808949678,22.6570986149387,1.29393381047191,2.04124145231932,2.04124145231932,0,13.1140482258365,4.09945795874961,13.4823116442518,3.41136208930507,15.0360943231808,4.10453213727631,2.87573317083509,7.08078385491324,2.86296720145048,6.42550498293436,0.176776695296637,1.05835543000271,3.88516180323798,2.04124145231932,10.7428917067158,0,13.1140482258365,4.12057843835871,13.5277492584687,1.26529108843046,6.63089360493742,10.041580220928,0,10.7317120189252,8.02206429948053,5.95657361498783,10.7233196041773,4.33416947061372,1.25905808949678,2.04124145231932,2.52703005185246,2.04124145231932,9.53966066177972,0,21.202725191719,8.83735058895474,16.6803050424187,4.38391947918755,4.38391947918755,0,0,7.08942874990644,1.25905808949678,16.083720948383,7.60063350186217,0,8.0721294708118,2.32481438071127,4.12543703978509,0.204124145231932,3.18011313219006,6.97137002317335,0,0,0.176776695296637,0.176776695296637,0,3.65585885712626,34.8298636658985,2.04124145231932,0,4.28660704987056,10.041580220928,8.22280661818278,4.28660704987056,2.20231838892976,10.041580220928,0,2.16794833886788,8.01783725737273,0,4.34248118673448,0,8.81847107489532,3.14629838832669,2.04124145231932,5.46257499696125,5.52585628833199,0.123537961400441,0.176776695296637,5.96866819315666,0,6.97137002317335,5.9490020171454,0,0,0.176776695296637,2.12132034355964,13.1909059582729,5.34863277821107,3.17752983010162,0,17.2061536706473,0,2.27866357593825,28.6144697450063,2.55107219694664,8.0721294708118,6.32921404855807,5.97790047739564,0,8.86282719465707,0.986436876582146,0,8.0721294708118,0,7.08284312029193
"S.ACE",4.114,15,NA,41.0040155172299,11,4.44444444444444,NA,22.5,NA,27.5625,41.1679540971849,35.3910662489848,1,36.1647337278106,25.8822086801427,15.3456790123457,43,37.5,43.9545410628019,3.75,31.6328246652133,16.5373785445172,39,42.352493660186,1,3.6,11.5555555555556,2,NA,NA,28,19.5186681617259,21.589397845198,NA,43,34.3636363636364,25.7197542533081,NA,NA,NA,37.3685969620464,6,3,43,21,NA,27.5966893169162,1,48.1986007798026,17.6,1,1,22,1,40,NA,45.4069839527628,1,16.7083333333333,NA,NA,NA,27.3622253577908,NA,52.6641975308642,1,6.9,48.010101010101,44.2118558214349,3,8.42857142857143,1,31.6793930785277,27.9793834505138,NA,8.97959183673469,15.8062283737024,41.1830065359477,8,53.6024639423077,43.147956148551,NA,NA,1,45,16,40.1818181818182,25.7831604715583,43.0386666666667,46.1437754165027,29.3079069767442,19.6419437340153,14.5885714285714,29.7178547698149,3,30.508513723176,29.242954324587,NA,34.7403749244104,NA,45,12.1710526315789,24.0064446831364,8.10857142857143,25.4849382716049,NA,NA,33.1949090909091,34.5669642857143,14.3541666666667,39.8823529411765,35.2690277777778,7.22222222222222,NA,24.6554213522144,NA,49.8743864166734,NA,NA,33.1124716062737,51.7059426229508,13.75,12.6,1,NA,28.8419920474545,6.58953168044077,38.1796201444342,33.2272727272727,1,21.296,44.9,13.3234285714286,3.6,37.814497787868,NA,43,2,3,3,NA,27.3712349185814,122.36974789916,NA,NA,NA,NA,36.7894736842105,NA,33.9118588450469,NA,43,5.92098765432099,30,43,NA,1,27.719298245614,18.1226128472222,NA,39.9346639554795,36.0897506925208,43.4179808830223,3,17.6786583477145,43,NA,22.2083333333333,43,1,3,6.9,43.477257251518,22.6666666666667,25.5853785107649,1,48.95,43,13.3497536945813,83.1953723317582,33.2851398110914,29,43.84112,18.4107495069034,NA,38.9088914285714,29.6280659992065,43,31.2698412698413,1,25.5878715814507
"se.ACE",0.923829008251625,0.958034151100061,NA,2.51864863362474,0.951377425425438,0.767205252849588,NA,2.28283910911368,NA,1.84207564307372,3.13008619817418,2.70888808176068,0,3.00338705193709,2.0862725713535,1.91203903091697,2.27217752336265,1.99389251097036,3.15432779570503,0.98580049908691,2.82202952830806,1.81992027430821,2.25320284859643,3.20266181402352,0,0.876043154180539,1.7335197789529,0,NA,NA,0.969854816572092,1.49737159670941,2.12171880145227,NA,2.27217752336265,2.5093320131285,2.2557167566131,NA,NA,NA,2.74430047313999,0.912870929175277,0.85182203084917,3.25647833752824,0.965052076600592,NA,1.79015388953249,0,3.54491539830258,1.89939240580839,0,0,2.21449943263378,0,2.64102252924885,NA,3.25750797197672,0,1.93965088122003,NA,NA,NA,2.55149043345699,NA,3.91975824547641,0,1.13764973214161,3.98766795901469,2.76039082061027,0.85182203084917,1.39782773009162,0,2.66011991261215,2.82086354761905,NA,1.36765966774529,2.08334988226209,3.35631254833898,0.946107816266201,4.6794917553546,2.6621099430098,NA,NA,0,0.976132968438966,0.960238142686643,2.71045639880575,2.49251965454444,4.49730727849622,2.14735210683927,2.63049514168194,2.13647156975066,1.71680498642291,2.69593198076002,0.85182203084917,1.83278936876899,2.69872365511191,NA,2.72781194947126,NA,0.976132968438966,1.62753757008977,2.86228660623145,1.3415102092669,2.53932891242085,NA,NA,3.22343748611839,3.9864148451901,1.71297486541683,2.95250264710377,2.48666769962222,1.26993288126169,NA,2.0112958488591,NA,4.41489406290657,NA,NA,3.15059666694764,3.65417866673767,1.59124555654686,1.26034287466005,0,NA,2.97790069380694,1.07610443825638,3.37563754568946,3.56845858610682,0,1.65053372793555,1.31350339834418,1.55820550294479,0.876043154180539,2.97889836316633,NA,1.67053813916911,0.707106781186548,0.85182203084917,0.85182203084917,NA,2.51231577090548,4.76713803631802,NA,NA,NA,NA,3.00461086918573,NA,2.50421304223281,NA,0.988303691203525,1.02370064714923,1.64154763597074,3.0727610491407,NA,0,2.64405391370751,2.10057943188311,NA,3.24520646026579,2.70130465715454,3.06639632570179,0.85182203084917,2.3059866339462,3.16962326277225,NA,2.40601311760037,2.27217752336265,0,0.85182203084917,1.13764973214161,2.32262966854464,1.61490069310898,2.41396644642627,0,2.12060354901209,3.23498319610315,1.81794953578306,4.82738286862088,2.74439378156816,0.970494720685271,4.20173843828992,2.28493483667142,NA,3.23515357274784,2.38679496870256,2.55178915801771,3.00144768617663,0,2.69584036351367
