"","Samples","SIMPSON"
"1","B_2_1",0.972634363002421
"2","B_2_2",0.973079839387639
"3","B_2_3",0.970732354128902
"4","B_3_2",0.969115991705045
"5","B_3_3",0.969492935002648
"6","B_4_1",0.973636340584513
"7","B_4_2",0.971940698948732
"8","B_4_3",0.97155696558095
"9","B_5_1",0.970390611795114
"10","B_5_3",0.967766483680916
"11","B_6_1",0.967834005151001
"12","B_6_2",0.97086446687968
"13","B_6_3",0.970269271777072
"14","B_7_1",0.973079947596416
"15","B_7_2",0.972693940422667
"16","B_7_3",0.9732313195485
"17","B_8_1",0.955088032530131
"18","B_8_2",0.967915900187616
"19","B_8_3",0.967877967053476
"20","B_9_1",0.968538762779186
"21","B_9_2",0.962734427681584
"22","B_9_3",0.965224120299726
"23","R_2_1",0.970042512042567
"24","R_2_2",0.966795709178124
"25","R_2_3",0.967992313303684
"26","R_3_1",0.96945475230134
"27","R_3_2",0.96592637810398
"28","R_3_3",0.968353723616036
"29","R_4_1",0.969828914251796
"30","R_4_2",0.970471641871044
"31","R_4_3",0.970295095155573
"32","R_5_1",0.964744057043829
"33","R_5_2",0.9607493476747
"34","R_5_3",0.967568370191141
"35","R_6_1",0.968968871057432
"36","R_6_2",0.972890853017301
"37","R_6_3",0.968544368032068
"38","R_7_1",0.969382556276147
"39","R_7_2",0.970634583893231
"40","R_7_3",0.970618283607612
"41","R_8_1",0.965742791815278
"42","R_8_2",0.966147555705026
"43","R_8_3",0.96846886809761
"44","R_9_1",0.967631142946766
"45","R_9_2",0.964825805149674
"46","R_9_3",0.966901395168131
