"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","R_2_1",6.22802403116542,0.995862109641328,897.375,897.461168935148
"2","R_2_2",5.99042580513159,0.995760880006383,624.5,624.143229166667
"3","R_2_3",5.99490169893388,0.995546732138221,659.666666666667,659.306620209059
"4","R_3_1",6.26862794311012,0.995968126215215,957.7,956.433044636909
"5","R_3_2",6.27806567766861,0.996172348954638,911.5,911.459603658537
"6","R_3_3",6.3932112557376,0.996049720817458,1108.025,1107.44288577154
"7","R_4_1",6.02167561575454,0.994971270713243,723.571428571429,723.619867549669
"8","R_4_2",6.06692655755892,0.995211193226363,806.694444444444,806.834181078332
"9","R_4_3",6.07608751174358,0.995117240068483,825.035714285714,825.157458563536
"10","R_5_1",6.03653143540571,0.994970825207831,734.166666666667,734.144886363636
"11","R_5_2",5.77518562691506,0.99337688277033,541,541
"12","R_5_3",6.09160360944304,0.993604262416298,949.184210526316,947.808219178082
"13","R_6_1",5.9515488823593,0.994020848900166,698,698
"14","R_6_2",6.47751214124439,0.99721563217388,1044.1,1044.31578947368
"15","R_6_3",6.08519055092208,0.995486514103195,768.321428571429,768.486486486486
"16","R_7_1",5.85479878580584,0.99418068910068,625,625
"17","R_7_2",6.22517717897144,0.996212389610522,830,830
"18","R_7_3",6.06246983230845,0.995893273999048,690,689.28338762215
"19","R_8_1",6.01504938415621,0.994896821154948,721.083333333333,719.806201550388
"20","R_8_2",5.85632767371185,0.994837485581579,578.166666666667,578.145077720207
"21","R_8_3",6.0390173961306,0.995853006035619,684.055555555556,684.152542372881
"22","R_9_1",6.14779653821993,0.995810771270892,790.75,790.49609375
"23","R_9_2",6.20229902307751,0.99502550314944,928.441176470588,928.15447761194
"24","R_9_3",6.08810414241784,0.996005274496967,732.75,732.437856328392
