"","Samples","SIMPSON"
"1","B_2_1",0.950459311427373
"2","B_2_2",0.958068073853031
"3","B_2_3",0.946948483013978
"4","B_3_2",0.957622347192399
"5","B_3_3",0.958075588194044
"6","B_4_1",0.948328172622463
"7","B_4_2",0.943846135108554
"8","B_4_3",0.953660912614027
"9","B_5_1",0.95499304320581
"10","B_5_3",0.946893175882071
"11","B_6_1",0.940242106792986
"12","B_6_2",0.954412536868184
"13","B_6_3",0.9471644973676
"14","B_7_1",0.958453129333367
"15","B_7_2",0.957655093587896
"16","B_7_3",0.958596654327935
"17","B_8_1",0.941159558400189
"18","B_8_2",0.95529962112851
"19","B_8_3",0.95011864809197
"20","B_9_1",0.950002970653481
"21","B_9_2",0.953426276577312
"22","B_9_3",0.949367225619816
"23","R_2_1",0.95741952709104
"24","R_2_2",0.951670506699873
"25","R_2_3",0.956572154684671
"26","R_3_1",0.951145862728428
"27","R_3_2",0.952195981868347
"28","R_3_3",0.952159428841398
"29","R_4_1",0.949438155445228
"30","R_4_2",0.945661823875761
"31","R_4_3",0.963588684482007
"32","R_5_1",0.950990566426156
"33","R_5_2",0.938510343603706
"34","R_5_3",0.954439434834232
"35","R_6_1",0.957644625932942
"36","R_6_2",0.950914054358845
"37","R_6_3",0.951306851186302
"38","R_7_1",0.950430371555369
"39","R_7_2",0.958921494309607
"40","R_7_3",0.95576940567286
"41","R_8_1",0.947335739424828
"42","R_8_2",0.948640298833388
"43","R_8_3",0.956475001227926
"44","R_9_1",0.952907776603426
"45","R_9_2",0.93869394119294
"46","R_9_3",0.956066107547245
