"","Samples","SHANNON","SIMPSON"
"1","B_2_1",4.29015910289165,0.976432816850845
"2","B_2_2",4.32750599982867,0.977627770762985
"3","B_2_3",4.23119079215364,0.973339373590216
"4","B_3_2",4.26790956492336,0.975851974687174
"5","B_3_3",4.24417404321509,0.975067059918662
"6","B_4_1",4.36887950102955,0.976854835815993
"7","B_4_2",4.27120369928072,0.972370237252659
"8","B_4_3",4.29344879522468,0.97524985802773
"9","B_5_1",4.2566040713858,0.975798924456705
"10","B_5_3",4.16913815542332,0.970526037235664
"11","B_6_1",4.15999755427267,0.972810179076112
"12","B_6_2",4.28292601718442,0.976046078640543
"13","B_6_3",4.25183288867265,0.973260459443817
"14","B_7_1",4.32656971711102,0.976688866206781
"15","B_7_2",4.36705001773524,0.978003296572075
"16","B_7_3",4.37029563775064,0.978383974292557
"17","B_8_1",3.91434448323519,0.959551494168459
"18","B_8_2",4.20226665430288,0.973832403237823
"19","B_8_3",4.19497720005037,0.97166878902938
"20","B_9_1",4.18626467542014,0.971482902354464
"21","B_9_2",4.11750100793144,0.969607805064129
"22","B_9_3",4.14374094481006,0.968316590313796
