"","Samples","SHANNON","SIMPSON"
"1","R_2_1",4.47226605312855,0.95741952709104
"2","R_2_2",4.2927199170332,0.951670506699873
"3","R_2_3",4.38154434889158,0.956572154684671
"4","R_3_1",4.38931639682803,0.951145862728428
"5","R_3_2",4.37337033460329,0.952195981868347
"6","R_3_3",4.41848046587117,0.952159428841398
"7","R_4_1",4.29492606238045,0.949438155445228
"8","R_4_2",4.24927707233437,0.945661823875761
"9","R_4_3",4.5478895096355,0.963588684482007
"10","R_5_1",4.40154896138726,0.950990566426156
"11","R_5_2",4.22599716251988,0.938510343603706
"12","R_5_3",4.33542329617752,0.954439434834232
"13","R_6_1",4.38366873729436,0.957644625932942
"14","R_6_2",4.45030461368536,0.950914054358845
"15","R_6_3",4.33986380671214,0.951306851186302
"16","R_7_1",4.30959915734387,0.950430371555369
"17","R_7_2",4.5012196568385,0.958921494309607
"18","R_7_3",4.39537013001891,0.95576940567286
"19","R_8_1",4.26900663047511,0.947335739424828
"20","R_8_2",4.21146728524316,0.948640298833388
"21","R_8_3",4.38752968370542,0.956475001227926
"22","R_9_1",4.3642701664102,0.952907776603426
"23","R_9_2",4.22384125448825,0.93869394119294
"24","R_9_3",4.37383268920518,0.956066107547245
